start	end	text
0.020056657223796036	5.1144475920679895	risparmiando un botto in vestiti. Come? Beh, ci sono tre effetti negativi nei
5.08	9.03335593220339	saldi. Il primo è che i saldi sono localizzati in uno specifico arco
9.20072202166065	12.572851985559566	temporale, a un certo punto finiscono e questo ci dà una sorta di senso
12.56	14.024605678233439	d'urgenza per cui dobbiamo muoverci altrimenti non troviamo più vestiti, il
16.92	21.45399380804954	che ci spinge al cosiddetto approfittarne, o meglio questo è lo stato mentale in
21.400000000000002	25.093003533568908	cui siamo. Sentiamo questo senso di fretta che ci spinge a dover comprare
25.080000000000002	26.664146981627297	tutto il prima possibile e questa roba qua fa spendere male e tanto altro lato
30.96072072072072	35.414054054054056	negativo sapendo che i singoli prodotti costano meno ci sentiremo un po' meno
35.4	39.83394321766561	in colpa a comprarvi questo ci giustificherà ci legittimerà a
40.0007250755287	44.11311178247734	comprarne magari un secondo capo un terzo le maglie costano la metà
44.580575079872204	48.75386581469648	vabbè a sto punto ne prendo due o magari anche tre e arriviamo però o a
49.00106312292359	52.753488372093024	spendere uguale rispetto a quello che spenderemo prima o addirittura di più
52.98074074074074	57.774358974358975	tra l'altro comprando cose che non ci servono davvero e infine lato negativo numero 3 i singoli
57.80010443864229	63.61524804177546	acquisti sono meno ragionati influenzati dallo sconto e dai prezzi bassi non perderemo troppo
63.80093994778068	69.29524804177547	tempo a ragionare su effettivamente questa cosa mi serve davvero vale il prezzo che sto pagando e
69.42080862533693	74.59471698113208	lo prenderemo più a cuor leggero e magari quello stesso articolo si rivelerà poi un qualcosa che
74.56	80.37494845360825	non metteremo mai è un errore a posteriori io tendo ad evitare il periodo dei saldi infatti
80.58072727272727	84.99406060606061	comprando a prezzo pieno mi soffermo molto di più sul singolo prodotto e mi
85.2409364548495	88.99344481605353	chiedo se effettivamente valga la pena acquistarlo o meno il risultato è che
88.96000000000001	90.60469914040115	compro molte meno cose ma decisamente più ragionate e alla fine se ripenso
94.16059701492539	98.75426865671642	più o meno a quanto spendevo quando come gran parte delle persone compravo nel
98.68	102.51321799307959	periodo dei saldi credo di spendere molto meno se non addirittura la metà
102.88131147540985	106.63357377049181	questo vale per lo shopping ordinario se poi avete puntata una singola cosa
106.9209696969697	111.23400000000001	magari anche costosetta come una giacca o un paio di scarpe allora in quel caso
111.68146031746032	115.59384126984126	vale la pena effettivamente aspettare i saldi a patto che il pagare meno quella
115.8610606060606	119.47299242424242	cosa non diventi una scusa per fare altri acquisti inutili. Mi raccomando!
