start	end	text
0.020055401662049863	5.254515235457064	gli esami ovvero la cosa che io avrei voluto sapere prima di iniziare a
5.24	8.332173913043478	studiare medicina mi realizzava forse per tutte le università non solo per
8.32	13.294293948126802	medicina ovvero all'inizio ero convinto che per preparare un esame bisognava
13.280000000000001	17.493333333333336	studiarti se devi prendevi il tuo voto che valutava la tua preparazione
17.720362537764352	22.29413897280967	in realtà così non è secondo me gli esami sono 50 per cento culo e lasciatemelo
22.240000000000002	27.134310850439885	dire e 50 per cento preparazione perché ve lo dico è normale che voi non sapete
27.581461988304095	31.994327485380115	tutti gli argomenti per il vostro esame al cento per cento da trentelote cioè
31.939999999999998	33.98653846153846	quello che è stato trentelote, quello da 28, quello da 27, quello da 26, ti siedi
36.3404375	40.6739375	all'esame e ti esce la domanda da trentelote e tu prendi trentelote, ti esce la
40.78045325779036	45.77456090651558	domanda da 26 e tu prendi 26 quindi molta fortuna non è detto che si è
46.08153225806452	48.73217741935484	sempre perveratissimo su tutti gli argomenti perché alcuni ti piacciono
49.14153846153846	53.29538461538461	altri non ti piacciono la sostanza è questa il voto non fa la tua preparazione
53.44245954692556	56.953786407766984	perché molte volte anche la come rispondi non piace professore magari una
56.879999999999995	59.02756183745583	risposta detto in un modo diverso piaceva e in un altro modo diverso non piaceva
60.56	61.4430662020906	pertanto meno menate e godetevi il percorso
64.40028268551238	67.63166077738516	spero che questo video vi sia piaciuto se volete un altro video con magari 10
68.38126245847177	72.07348837209302	altre verità sul medicina lasciate un commento e fatemelo sapere perché se
73.16395759717315	76.17455830388693	raggiungi 500 like questo video lo registrerò come sempre invita di
75.90073469387755	78.65191836734694	iscrivervi al canale mi raccomando attivando la campanella a lasciare
78.64	80.16529285714286	subito un bel like e noi ci vediamo in un prossimo video. Ciao ragazzi!
