start	end	text
0.28075675675675676	5.354432432432432	Ecco, tutto ciò che rende le transizioni economiche più veloci, più rapide, o che
5.720783289817232	11.094778067885118	offusca magari il passaggio bre di mano dei bigliettoni da te all'altro, riduce il dolore
11.1	14.091686274509803	del pagamento e quindi rende più facile che tu spenda.
14.380531561461794	18.293488372093023	Ecco, voglio dire che c'è un'occasione secondo me a questa regola dei contanti, ovvero le
18.400562248995985	21.07124497991968	occasioni nelle quali è giusto che tu spenda del denaro.
21.26	25.513046153846155	Cioè durante la luna di miele, secondo me, non è giusto che tu dica troppe volte alt
25.92093959731544	26.56523489932886	costa troppo.
26.92038567493113	32.07454545454546	sono degli eventi speciali. In questi casi, quindi, tira fuori la carta di plastica e divertiti,
32.180353982300886	36.8741592920354	però fai sì che queste siano delle eccezioni e non la regola. Quarta trappola potenzialmente
37.08055137844612	42.87503759398496	devastante si basa sul principio psicologico per cui il primo numero che viene detto all'interno
42.86	44.64462337662338	di una trattativa economica influenza quelle che saranno le tue scelte future. I menu ben
48.58	54.634840294840295	progettati, ad esempio, hanno solitamente una voce ben cara, ben alta di costo di prezzo
54.92045454545455	60.695	in alto. Se il filet mignon costa 25 euro, va a finire che ti sembra ragionevole spendere
61.421836228287845	66.77508684863524	15 euro per un'installata. Cioè insidiosamente tutto il resto delle portate viene percepito
66.92050156739812	71.17379310344828	come se fosse un affare. Se fossi ad esempio un agente immobiliare, io potrei farti vedere
71.40053333333333	77.63435555555556	prima due case di un prezzo molto alto al di fuori delle tue aspettative, delle tue
78.18	83.31438202247192	portate, per poi proporti una terza casa più economica, ma comunque più alta rispetto
83.32000000000001	88.37435897435897	quelle che erano le tue aspettative iniziali e vedrai che tu allora sarai portato ad acquistarla
88.36	90.12522255192879	più facilmente, perché la vedrai come più economica rispetto alle due precedenti. Quindi,
93.32050125313282	99.15508771929824	come resisti al potere, all'attrattiva del primo prezzo, potresti ad esempio farti una ricerca su
99.11999999999999	101.42597402597401	internet per vedere di norma solitamente le persone quanto pagano per quell'automobile. Così il prezzo
104.83999999999999	110.29474254742547	consigliato per l'acquisto avrà meno influenza sulla tua decisione finale. Quando noi abbiamo già
110.64099750623441	116.3552119700748	un valore prestabilito o una fascia di prezzo nelle nostre menti, infatti, è più difficile per gli
116.60074245939676	122.99554524361947	estranei utilizzare il potere del primo pezzo per influenzare le nostre menti. Infine, quinto punto,
124.64426799007443	129.0351364764268	pensa alla strategia di Ulisse. Ulisse, per resistere alla tentazione del suono delle sirene,
129.0	135.47541766109785	si era fatto legare all'albero della nave. Ora, io dubito che tutti noi abbiamo a disposizione una
135.78109510086455	140.25394812680116	nostra nave con un albero alla quale farci legare, però, guarda, possiamo trovare delle
140.52037122969838	147.19582366589327	altre soluzioni. E si tratta più dello specifico di erigere ora delle barriere che ci aiutino a
150.5885851318945	154.61822541966427	resistere dopo alle varie tentazioni. Ad esempio, potresti andare nel tuo conto corrente online e
153.70088772845955	159.0949347258486	impostare un trasferimento automatico di denaro nello stesso giorno in cui tu ricevi il tuo
159.24050890585244	164.95501272264633	stipendio. Così, quando il tuo stipendio viene accreditato, nello stesso momento una certa
165.34098823529413	171.97656470588237	fetta X viene trasferita su un fondo deposito risparmio. Questo ti aiuterà molto a risparmiare,
172.08196319018404	176.0340490797546	a mettere da parte dei soldi, e ci sono addirittura delle app che lo fanno in automatico. Una
175.98	181.29456043956043	addirittura mette in una specie di salvadanaio virtuale gli arrotondamenti dei tuoi acquisti.
181.6608837209302	187.51446511627904	Se spendi, ad esempio, 12 euro e 25 centesimi, i 75 centesimi che mancano per arrivare a 13
188.20108695652172	191.45282608695652	vengono messi in questo salvadanaio virtuale. In questo modo, bella storia,
191.48011142061281	195.9725905292479	tu risparmi senza quasi neanche accorgertene. Ora attenzione, la strategia di Ulysses ci è
196.64	198.84592991913746	molto utile, non solo per le finanze, ma più in generale per le tentazioni future. Porta le tue
202.3808797653959	206.95425219941347	chiavi dell'auto a un amico prima di andare a bere con gli amici. Chiedi a un tuo amico di cambiare
206.92	212.31524079320113	le password dei tuoi accessi ai social quando hai bisogno di concentrarti e di fare urgentemente
212.020054200542	217.41463414634146	un altro lavoro e così via. Bene, cari amici, anche per oggi è tutto. Io aspetto nei commenti
217.6405896805897	223.57513513513513	sottostanti come sempre le vostre strategie per evitare di cadere nelle trappole mentali
223.56	225.0829338235294	che ogni tanto il mercato ci fa e che ci portano poi a spendere troppi soldi.
228.40359510869564	229.3496297554348	Ciao e alla prossima!
