start	end	text
0.18051873198847262	4.954236311239193	Ciao, mi sono posto questa domanda da un po' di tempo, dato che di recente ho finito l'università
4.96	10.434108527131784	dopo 5 anni di studio intenso e ho deciso di fare questo video in cui voglio argomentare
10.92051948051948	16.334545454545456	alcune risposte alla domanda. Ha ancora senso oggi fare l'università?
16.861031941031943	22.314398034398035	Il mio percorso fino a fine 2018 è stato molto semplice, ho superato esame dopo esame
22.66016901408451	27.754478873239435	per ottenere una laurea, per poi ottenere un lavoro in azienda, ben retribuito e che
27.72	31.670735694822888	magari mi facesse fare poca fatica. Laura magistrale in ingegneria, 5 anni, 110 lode,
33.30070739549839	37.67472668810289	tutto perfetto. In un certo senso dentro di me stava iniziando a nascere quella pretesa
37.32	39.103964365256125	che tutto sarebbe stato dovuto da quei momenti in avanti, con tante virgolette, ma comunque
44.640818414322254	50.174936061381075	tutto semplice, trovare un posto di lavoro e trovare un qualcosa che mi dovesse piacere.
50.50085213032581	56.17503759398496	Fare l'università non è semplice, richiede tempo, energie, sforzi e l'obiettivo finale è il superare
56.16	62.55615189873417	l'esame in un certo senso a qualsiasi costo per ottenere l'obiettivo finale la laurea. Quando sei
62.08	67.59482479784366	all'università tu sotto sotto ti stai accorgendo già in quel momento che il 99% delle cose che
67.52	72.93479452054795	stai memorizzando che stai studiando non le userai mai e soprattutto non ti interessano perché
73.60195372750643	79.27650385604113	alcune cose sicuramente sono piacevoli dell'università delle materie studiate ma
79.16153392330384	83.4942772861357	la maggior parte assolutamente no. Però a un certo punto si mette l'autopilota perché
83.44	88.23385507246377	perché alla fine l'obiettivo è superare l'esame. Durante i 5 anni, se va bene, dell'università,
89.70257692307692	97.31719230769231	6, 7, 8 anni nel peggiore dei casi, tu costantemente hai un macigno dietro al collo, perché sai
96.96046035805627	102.67503836317135	che devi fare qualcosa, devi superare il prossimo esame, devi scrivere la tesi, devi fare qualsiasi
106.10935483870968	109.63881720430108	cosa inerente alla tua attività all'università e, da questo punto di vista, durante le tue
108.70169863013699	113.41457534246575	che non concernano l'università, allo stesso modo sei impegnato mentalmente,
113.4	118.11402985074628	una parte della mente, perché sai che devi fare qualcosa per l'università.
118.62129198966409	123.73447028423773	Per me almeno è stato così per cinque anni, devi studiare, devi finire questo percorso e
124.24074844074843	131.55592515592517	alla fine questo continuo peso che ti porti dietro, porti inevitabilmente a perdere interesse quasi
131.7807807807808	136.25417417417418	completamente per quello che si sta facendo. L'obiettivo rimane esclusivamente quello di
136.2	140.8540181268882	di laurearsi e finire il percorso. Questo però mentre avanzi all'interno del percorso
143.16618666666665	148.03914666666665	universitario non si nota assolutamente, sei all'interno di una bolla, ma una volta laureato
