start	end	text
0.0	1.0646288209606984	nel vivo del metodo, nel metodo che fa la differenza.
2.6	3.847337278106509	Lui cita il metodo Feynman.
4.06023166023166	6.991505791505791	Per chi non lo sapesse, Richard Feynman è stato un premio Nobel per la Fisica
7.380681818181818	10.351893939393939	e a lui si attribuisce un metodo di studio noto come metodo Feynman.
10.5	14.773148148148149	Consiste nello studiare i vari argomenti, quindi leggere dagli appunti o dalle lezioni
15.0	19.433038348082597	e poi fermarsi e concentrarsi nel ripetere ciò che si è studiato, rispiegarlo,
19.8	22.79173228346457	magari anche riscrivendolo come se si stesse tenendo una lezione,
22.98025889967638	26.973139158576053	come se lo si stesse spiegando a una platia di alunni che non ne sa niente o a uno sconosciuto.
27.18029520295203	30.552693726937274	E lì vi accorgerete se avete imparato le cose, perché se siete in grado di spiegarlo
30.84122448979592	33.25102040816327	bene vuol dire che l'avete capito e ve lo ricorderete.
33.540258899676374	37.7137216828479	È importante che voi facciate questo processo utilizzando la memoria e non rileggendo e
37.660000000000004	38.364697986577184	riscrivendo.
38.660000000000004	42.71333333333334	Ma lo spiegate, se vi accorgete che c'è qualcosa che non sapete spiegare bene, molto probabilmente
42.74	47.2131563421829	perché non l'avete capito, ritornate a studiare quel pezzo e ripetete il metodo finché
48.28496644295303	48.96953020134229	non lo sapete.
48.540000000000006	51.972619926199265	Confesso questo è uno dei migliori metodi attivi di studio, è un metodo che ho usato
51.980000000000004	53.204939271255064	anch'io parecchie volte e mi ha dato un sacco di soddisfazioni.
55.04037174721189	58.212118959107805	e anche il metodo che mi ha lasciato più conoscenza a lungo termine
58.440465116279064	60.59041860465116	le cose che mi appassionano le ho studiate con questo metodo
60.82064257028112	63.51140562248996	riesco a spiegarle alla persona, a raccontarle alla gente
63.680095693779904	64.6446889952153	e questo a fase che io me le ricordi molto bene
65.90017937219731	68.6122869955157	è un metodo che ho usato sia in ingegneria che per il test di medicina
68.5006971830986	71.09193926056338	vale in generale indipendentemente dal tipo di materia.
