start	end	text
0.26058956916099774	6.835464852607711	funziona. Adesso non ne ho bisogno, ma una volta quando giravo per negozi, online, se
6.84	12.41444155844156	non acquistavo subito, la maggior parte delle volte, perdevo l'interesse quasi immediatamente.
12.780494382022473	19.255011235955056	E punto bonus? Dire no. Dire no ad attività troppo costose, ad appuntamenti e così via.
20.52278820375335	24.954638069705094	Dire no va bene. Se sono invitata a passare un weekend da qualche parte e so che la spesa
24.96	30.494720000000004	sarà troppo alta per me, dico di no, oppure cerco un'alternativa da proporre. Ci sono
30.76069825436409	36.294463840399004	tantissimi modi di risparmiare nella quotidianità e quando si inizia, si entra nella mentalità
36.62027855153204	41.73448467966574	del risparmio, tutto diventa più facile e automatico. Il risparmio non è qualcosa di
41.72	46.994490358126725	negativo, non si tratta di sacrificarsi, fare renunce, blablabla. Il risparmio significa
47.0	49.606265060240965	avere rispetto per il denaro, per il proprio lavoro e quindi per se stessi. Fammi sapere
53.32	57.69384126984127	quali di questi modi vorresti introdurre nella tua vita e se hai altri consigli lasciali
57.64	62.63435158501441	sotto nei commenti. Se il video ti è stato utile supportami con un like e iscriviti al
62.6	67.01379310344828	canale per video come questo. Ci vediamo al prossimo video e fino ad allora ti auguro
67.66447892011834	70.121037352071	di raggiungere il tuo obiettivo finanziario. Peace!
