start	end	text
0.0	8.176158415841584	sì allora meglio pubblicare mattino o pomeriggio bella domanda non c'è un
8.260373333333334	13.734933333333334	meglio o peggio, dipende tutto dipende dal tuo profilo dal tuo canale e
14.161259079903148	20.075544794188865	soprattutto dal tuo pubblico per sapere quando pubblicare nello specifico hai i
20.14091666666667	22.73166666666667	due modi c'è un mio video su youtube che si chiama
23.000909090909094	26.794125874125875	qual è il miglior orario per pubblicare e lì ti spiego in maniera abbastanza
26.86114114114114	31.174054054054054	approfondita qual è il miglior orario per pubblicare se no dentro tiktok masters
31.340664206642067	34.692988929889296	ovviamente che il mio corso ci sono due lezioni dedicate a qual è il miglior
34.90085959885387	39.63438395415473	orario per pubblicare come capire se pubblicare una certa ora o un'altra ora
39.6	43.51214953271028	cambia tutto però in base al profilo letteralmente cioè se io parlo di
44.56181184668989	47.85324041811847	marketing probabilmente la mia audience non sarà
48.04059553349876	53.93518610421836	collegata alle 4 del pomeriggio e alle 11 perché sta lavorando perché la mia
53.88	55.38498338870432	audience a quell'ora è o in ufficio o sta lavorando a casa e non ha tempo di
57.92	63.134565826330544	scrollare tiktok. Se faccio gli ASMR, per chi non lo sapesse anche questo è un
63.32064171122995	68.61475935828877	format, sono quei video in cui faccio, in cui le persone fanno rumori e sono
68.70039087947883	72.77361563517915	rilassanti per alcune persone, per me non particolarmente, però alcuni li
72.88034912718206	78.81511221945138	trovano rilassanti e a quelli li posso fare alle 9 di sera, alle 11 alcuni li
78.80006514657981	82.97361563517916	usano per dormire, quindi tutto dipende. Fai un salto a vedere il video sul mio
83.66211143695014	88.15524926686217	canale youtube così magari una risposta più specifica cosa fare quando non si
87.96069729262673	92.09665754608295	cresce più di follower nonostante buone views, anche in questo caso tutto dipende.
